321	1437
322	1441
323	1445
324	1451
325	1459
326	1466
327	1473
328	1480
329	1486
330	1490
331	1496
332	1504
333	1512
334	1519
335	1526
336	1532
337	1538
338	1543
339	1542
340	1541
341	1545
342	1549
343	1541
344	1533
345	1526
346	1521
347	1517
348	1514
349	1512
350	1510
351	1515
352	1523
353	1528
354	1528
355	1529
356	1535
357	1542
358	1527
359	1519
360	1524
361	1534
362	1544
363	1552
364	1560
365	1559
366	1557
367	1559
368	1562
369	1565
370	1563
371	1562
372	1568
373	1578
374	1585
375	1588
376	1591
377	1595
378	1600
379	1604
380	1603
381	1595
382	1587
383	1583
384	1587
385	1594
386	1586
387	1579
388	1575
389	1572
390	1574
391	1576
392	1574
393	1565
394	1560
395	1561
396	1562
397	1562
398	1562
399	1565
400	1571
401	1572
402	1572
403	1569
404	1563
405	1560
406	1560
407	1561
408	1564
409	1569
410	1575
411	1583
412	1588
413	1591
414	1593
415	1595
416	1592
417	1583
418	1578
419	1581
420	1585
421	1591
422	1597
423	1599
424	1589
425	1569
426	1559
427	1564
428	1573
429	1568
430	1564
431	1565
432	1567
433	1561
434	1547
435	1540
436	1542
437	1544
438	1542
439	1541
440	1542
441	1543
442	1546
443	1550
444	1544
445	1536
446	1528
447	1522
448	1520
449	1518
450	1516
451	1510
452	1500
453	1493
454	1491
455	1489
456	1491
457	1493
458	1489
459	1487
460	1486
461	1483
462	1479
463	1477
464	1477
465	1478
466	1480
467	1482
468	1481
469	1476
470	1468
471	1463
472	1469
473	1479
474	1486
475	1488
476	1487
477	1484
478	1477
479	1470
480	1467
481	1470
482	1469
483	1452
484	1443
485	1450
486	1464
487	1463
488	1459
489	1456
490	1454
491	1457
492	1462
493	1460
494	1458
495	1460
496	1462
497	1460
498	1461
499	1462
500	1464
501	1467
502	1462
503	1459
504	1465
505	1470
506	1452
507	1443
508	1442
509	1455
510	1481
511	1485
512	1481
513	1477
514	1475
515	1478
516	1483
517	1477
518	1474
519	1489
520	1488
521	1482
522	1494
523	1517
524	1530
525	1532
526	1542
527	1553
528	1561
529	1561
530	1559
531	1568
532	1585
533	1589
534	1584
535	1581
536	1587
537	1594
538	1574
539	1563
540	1585
541	1590
542	1584
543	1588
544	1591
545	1583
546	1594
547	1614
548	1621
549	1612
550	1597
551	1589
552	1591
553	1596
554	1598
555	1578
556	1568
557	1582
558	1602
559	1614
560	1595
561	1585
562	1591
563	1601
564	1612
565	1618
566	1612
567	1604
568	1605
569	1597
570	1588
571	1592
572	1595
573	1585
574	1579
575	1588
576	1599
577	1603
578	1596
579	1592
580	1604
581	1586
582	1576
583	1593
584	1612
585	1616
586	1622
587	1630
588	1628
589	1631
590	1630
591	1619
592	1610
593	1605
594	1619
595	1592
596	1578
597	1589
598	1607
599	1589
600	1582
601	1573
602	1567
603	1579
604	1572
